#{"t_start": 1733936065.1224792, "env_id": "CartPole-v1"}
r,l,t
31.0,31,0.750664
42.0,42,0.875683
13.0,13,0.879277
20.0,20,0.919998
41.0,41,0.971806
15.0,15,1.010311
12.0,12,1.013924
17.0,17,1.019448
53.0,53,1.098727
23.0,23,1.137171
38.0,38,1.180478
44.0,44,1.228507
284.0,284,1.640095
121.0,121,1.802829
59.0,59,1.922384
119.0,119,2.200266
210.0,210,2.504099
363.0,363,3.192584
228.0,228,3.470732
104.0,104,3.592478
175.0,175,3.842455
198.0,198,4.188508
137.0,137,4.404662
135.0,135,4.609694
117.0,117,4.857418
136.0,136,5.063885
406.0,406,5.911932
203.0,203,6.200873
274.0,274,6.65663
282.0,282,7.001602
220.0,220,7.287976
156.0,156,7.490843
180.0,180,7.727241
107.0,107,7.867065
166.0,166,8.07319
201.0,201,8.365488
78.0,78,8.468882
271.0,271,8.906245
254.0,254,9.226381
363.0,363,9.730026
500.0,500,10.82724
500.0,500,11.498067
500.0,500,12.165168
500.0,500,12.787111
500.0,500,13.416163
500.0,500,14.040073
500.0,500,15.143058
500.0,500,15.799731
500.0,500,16.428657
500.0,500,17.091987
500.0,500,17.833728
500.0,500,18.570175
500.0,500,19.32485
