#{"t_start": 1733936065.124861, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.742101
20.0,20,0.74863
38.0,38,0.872476
21.0,21,0.878349
45.0,45,0.965701
42.0,42,1.012781
18.0,18,1.051545
125.0,125,1.217082
177.0,177,1.424766
65.0,65,1.509724
165.0,165,1.76192
88.0,88,1.920869
175.0,175,2.252471
253.0,253,2.690736
320.0,320,3.237241
242.0,242,3.54994
143.0,143,3.731881
179.0,179,4.049588
145.0,145,4.287903
167.0,167,4.547106
157.0,157,4.854456
188.0,188,5.190654
300.0,300,5.660284
357.0,357,6.374168
286.0,286,6.780569
286.0,286,7.153824
176.0,176,7.365163
212.0,212,7.649081
128.0,128,7.815255
137.0,137,7.990617
172.0,172,8.246849
198.0,198,8.534798
149.0,149,8.807872
375.0,375,9.265771
306.0,306,9.686521
223.0,223,10.159162
500.0,500,11.072337
500.0,500,11.743559
500.0,500,12.420353
500.0,500,13.029133
500.0,500,13.656935
500.0,500,14.318426
500.0,500,15.392393
500.0,500,16.051436
500.0,500,16.685862
500.0,500,17.395317
500.0,500,18.130589
500.0,500,18.883605
