#{"t_start": 1733936065.1251872, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.744346
45.0,45,0.833626
28.0,28,0.878321
36.0,36,0.923949
26.0,26,0.971096
18.0,18,1.010654
21.0,21,1.050268
34.0,34,1.091206
67.0,67,1.174835
35.0,35,1.220478
41.0,41,1.265223
140.0,140,1.427836
124.0,124,1.637731
124.0,124,1.801285
52.0,52,1.918844
296.0,296,2.439341
196.0,196,2.873311
172.0,172,3.150249
203.0,203,3.39275
255.0,255,3.726881
143.0,143,3.941248
92.0,92,4.09733
170.0,170,4.398062
127.0,127,4.553597
149.0,149,4.860923
129.0,129,5.066326
298.0,298,5.581058
249.0,249,6.11828
228.0,228,6.472026
143.0,143,6.701412
314.0,314,7.112396
181.0,181,7.324015
145.0,145,7.529167
184.0,184,7.765862
238.0,238,8.068639
197.0,197,8.326446
201.0,201,8.674334
234.0,234,9.016246
317.0,317,9.439891
408.0,408,10.109074
500.0,500,11.068767
500.0,500,11.739951
500.0,500,12.382109
500.0,500,13.025722
500.0,500,13.653518
500.0,500,14.28419
500.0,500,15.38897
500.0,500,16.017831
500.0,500,16.682543
500.0,500,17.391955
500.0,500,18.049051
500.0,500,18.8801
