#{"t_start": 1733936065.123403, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.74575
16.0,16,0.826963
32.0,32,0.872677
21.0,21,0.878669
28.0,28,0.921601
22.0,22,0.967431
56.0,56,1.051949
32.0,32,1.092229
21.0,21,1.098472
43.0,43,1.175075
58.0,58,1.227043
112.0,112,1.384056
18.0,18,1.389324
114.0,114,1.59681
150.0,150,1.79842
142.0,142,2.081595
500.0,500,3.002762
294.0,294,3.394448
198.0,198,3.647536
104.0,104,3.780895
69.0,69,3.899495
149.0,149,4.150086
142.0,142,4.400959
139.0,139,4.60753
108.0,108,4.799331
470.0,470,5.61856
211.0,211,6.113803
500.0,500,6.825519
312.0,312,7.237956
178.0,178,7.484656
215.0,215,7.730646
185.0,185,7.989331
151.0,151,8.209245
209.0,209,8.470993
364.0,364,9.055421
289.0,289,9.441293
377.0,377,10.049586
500.0,500,11.026346
500.0,500,11.693616
500.0,500,12.342114
500.0,500,12.985761
500.0,500,13.615557
500.0,500,14.242931
500.0,500,15.348172
500.0,500,15.979818
500.0,500,16.644452
500.0,500,17.329421
500.0,500,17.997757
500.0,500,18.837317
