#{"t_start": 1733936065.123009, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.747099
26.0,26,0.831132
22.0,22,0.873986
33.0,33,0.918304
22.0,22,0.924743
29.0,29,0.972931
14.0,14,1.011374
51.0,51,1.05953
20.0,20,1.096343
17.0,17,1.101269
81.0,81,1.224517
174.0,174,1.429939
117.0,117,1.637924
114.0,114,1.798734
251.0,251,2.254827
361.0,361,2.964065
315.0,315,3.392369
280.0,280,3.733407
66.0,66,3.84649
110.0,110,4.050292
100.0,100,4.191926
261.0,261,4.610823
413.0,413,5.378348
296.0,296,5.968101
246.0,246,6.375204
272.0,272,6.74756
274.0,274,7.117786
188.0,188,7.362659
170.0,170,7.574905
221.0,221,7.867143
145.0,145,8.067052
151.0,151,8.254597
212.0,212,8.611889
232.0,232,8.943994
244.0,244,9.263562
356.0,356,9.731946
301.0,301,10.309226
500.0,500,11.246768
500.0,500,11.907129
500.0,500,12.547888
500.0,500,13.185205
500.0,500,13.812363
500.0,500,14.495469
500.0,500,15.559531
500.0,500,16.181397
500.0,500,16.849116
500.0,500,17.570427
500.0,500,18.313986
500.0,500,19.063529
