#{"t_start": 1733936065.124178, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.745311
59.0,59,0.875384
10.0,10,0.878198
12.0,12,0.916509
18.0,18,0.921701
12.0,12,0.964631
43.0,43,1.01195
52.0,52,1.091545
180.0,180,1.307635
147.0,147,1.506989
178.0,178,1.763153
125.0,125,1.984279
172.0,172,2.344007
411.0,411,3.068886
273.0,273,3.432861
153.0,153,3.64374
137.0,137,3.834467
112.0,112,4.046024
164.0,164,4.289785
122.0,122,4.456661
116.0,116,4.670591
189.0,189,5.013971
221.0,221,5.446056
212.0,212,5.908801
176.0,176,6.160188
241.0,241,6.559143
256.0,256,6.906608
287.0,287,7.279795
172.0,172,7.487244
185.0,185,7.724821
71.0,71,7.813773
93.0,93,7.945743
215.0,215,8.245732
165.0,165,8.459977
214.0,214,8.815933
207.0,207,9.100852
297.0,297,9.48451
433.0,433,10.249037
500.0,500,11.157415
500.0,500,11.826548
500.0,500,12.499673
500.0,500,13.108201
500.0,500,13.733611
500.0,500,14.374662
500.0,500,15.476746
500.0,500,16.130739
500.0,500,16.769208
500.0,500,17.489399
500.0,500,18.263646
500.0,500,18.980289
