#{"t_start": 1733936065.124525, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.743856
27.0,27,0.828515
10.0,10,0.831307
29.0,29,0.876184
24.0,24,0.918015
53.0,53,0.973375
35.0,35,1.051283
50.0,50,1.096777
36.0,36,1.1408
45.0,45,1.219946
324.0,324,1.674227
223.0,223,2.075942
139.0,139,2.296561
341.0,341,2.962007
231.0,231,3.274656
363.0,363,3.731352
172.0,172,4.047163
76.0,76,4.148105
169.0,169,4.408263
143.0,143,4.666628
161.0,161,4.970399
174.0,174,5.258329
384.0,384,6.014266
354.0,354,6.566273
76.0,76,6.700671
351.0,351,7.151973
173.0,173,7.362525
154.0,154,7.570435
185.0,185,7.810588
87.0,87,7.911016
113.0,113,8.06814
197.0,197,8.325972
185.0,185,8.668592
260.0,260,9.018551
334.0,334,9.446825
447.0,447,10.20777
500.0,500,11.154769
500.0,500,11.823904
500.0,500,12.466522
500.0,500,13.105418
500.0,500,13.730776
500.0,500,14.371907
500.0,500,15.473969
500.0,500,16.09746
500.0,500,16.766607
500.0,500,17.486803
500.0,500,18.206587
500.0,500,18.977655
