#{"t_start": 1733937062.672014, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.686098
15.0,15,0.693913
17.0,17,0.702878
16.0,16,0.711085
18.0,18,0.72346
14.0,14,0.730974
18.0,18,0.740368
31.0,31,0.756935
50.0,50,0.781705
41.0,41,0.801914
27.0,27,0.814731
25.0,25,0.826169
38.0,38,0.843439
29.0,29,0.856152
123.0,123,0.911713
207.0,207,1.046838
116.0,116,1.100343
214.0,214,1.203429
283.0,283,1.521199
275.0,275,1.656086
196.0,196,1.752086
177.0,177,1.839406
162.0,162,1.964465
302.0,302,2.163185
191.0,191,2.301121
220.0,220,2.440384
303.0,303,2.669941
484.0,484,3.264564
447.0,447,3.525565
317.0,317,3.711301
500.0,500,3.955593
500.0,500,4.219889
441.0,441,4.435254
500.0,500,4.969736
500.0,500,5.213235
500.0,500,5.562171
298.0,298,5.830786
500.0,500,6.269652
254.0,254,6.513634
493.0,493,6.804097
500.0,500,7.171726
152.0,152,7.44229
105.0,105,7.492305
119.0,119,7.553664
166.0,166,7.634166
188.0,188,7.734132
172.0,172,7.812133
170.0,170,7.892794
173.0,173,7.98382
175.0,175,8.086415
129.0,129,8.146681
140.0,140,8.211491
120.0,120,8.266992
116.0,116,8.356745
95.0,95,8.409431
81.0,81,8.45269
70.0,70,8.485011
75.0,75,8.521219
151.0,151,8.590893
89.0,89,8.634219
157.0,157,8.70446
135.0,135,8.773923
65.0,65,8.803071
187.0,187,8.887235
