#{"t_start": 1733937062.672725, "env_id": "CartPole-v1"}
r,l,t
9.0,9,0.683503
40.0,40,0.705451
11.0,11,0.710666
47.0,47,0.739108
12.0,12,0.744389
24.0,24,0.758083
28.0,28,0.772912
28.0,28,0.785292
11.0,11,0.79034
50.0,50,0.81457
27.0,27,0.827449
44.0,44,0.847375
41.0,41,0.865926
27.0,27,0.878112
27.0,27,0.890759
44.0,44,0.909277
45.0,45,0.949114
79.0,79,0.992683
162.0,162,1.081667
372.0,372,1.274826
500.0,500,1.684204
172.0,172,1.768326
272.0,272,1.92307
203.0,203,2.070263
302.0,302,2.288893
261.0,261,2.457554
262.0,262,2.657294
103.0,103,3.023924
500.0,500,3.320884
372.0,372,3.536144
333.0,333,3.732045
428.0,428,3.936748
500.0,500,4.204681
500.0,500,4.447313
500.0,500,4.981863
500.0,500,5.227772
500.0,500,5.58505
286.0,286,5.838669
177.0,177,5.935006
322.0,322,6.284453
362.0,362,6.580663
500.0,500,6.901459
396.0,396,7.373051
142.0,142,7.450217
189.0,189,7.54099
165.0,165,7.624639
164.0,164,7.705624
148.0,148,7.782185
139.0,139,7.844221
182.0,182,7.933717
129.0,129,8.002338
178.0,178,8.104718
130.0,130,8.166825
107.0,107,8.215186
148.0,148,8.282642
132.0,132,8.389291
98.0,98,8.434204
76.0,76,8.476078
144.0,144,8.545021
139.0,139,8.607546
170.0,170,8.686355
133.0,133,8.75475
183.0,183,8.838633
150.0,150,8.90751
