#{"t_start": 1733937062.6723871, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.684208
99.0,99,0.740028
37.0,37,0.760183
15.0,15,0.768172
12.0,12,0.773827
35.0,35,0.790104
45.0,45,0.811216
59.0,59,0.838881
70.0,70,0.871004
98.0,98,0.914044
52.0,52,0.963306
271.0,271,1.102757
486.0,486,1.518512
152.0,152,1.59623
176.0,176,1.679316
405.0,405,1.894522
155.0,155,2.016944
183.0,183,2.113063
269.0,269,2.31911
187.0,187,2.440077
216.0,216,2.617493
189.0,189,3.044196
327.0,327,3.227304
284.0,284,3.421684
488.0,488,3.686978
500.0,500,3.928471
495.0,495,4.194717
500.0,500,4.437587
500.0,500,4.972139
500.0,500,5.215709
500.0,500,5.567824
230.0,230,5.791478
257.0,257,5.937455
500.0,500,6.480256
237.0,237,6.611299
500.0,500,6.947891
191.0,191,7.112427
221.0,221,7.41576
100.0,100,7.465185
207.0,207,7.566715
142.0,142,7.636114
153.0,153,7.720203
206.0,206,7.813906
120.0,120,7.871423
141.0,141,7.939809
136.0,136,8.028045
132.0,132,8.093083
113.0,113,8.146018
149.0,149,8.214026
128.0,128,8.27374
94.0,94,8.31916
121.0,121,8.418117
85.0,85,8.463275
70.0,70,8.498782
89.0,89,8.540209
113.0,113,8.590551
105.0,105,8.640872
101.0,101,8.685759
140.0,140,8.757499
88.0,88,8.79666
241.0,241,8.907785
