#{"t_start": 1733937062.669853, "env_id": "CartPole-v1"}
r,l,t
39.0,39,0.702221
15.0,15,0.710818
20.0,20,0.72311
12.0,12,0.73015
16.0,16,0.738817
19.0,19,0.74886
12.0,12,0.755474
18.0,18,0.765024
18.0,18,0.77404
21.0,21,0.783814
41.0,41,0.803982
66.0,66,0.834775
38.0,38,0.85134
39.0,39,0.869319
39.0,39,0.887409
33.0,33,0.902353
58.0,58,0.943521
127.0,127,1.014054
30.0,30,1.040819
71.0,71,1.073238
422.0,422,1.289968
86.0,86,1.329404
442.0,442,1.717004
98.0,98,1.761845
284.0,284,1.920241
443.0,443,2.246241
170.0,170,2.350986
204.0,204,2.494816
185.0,185,2.641644
416.0,416,3.188093
246.0,246,3.35629
426.0,426,3.577993
233.0,233,3.72463
416.0,416,3.922823
500.0,500,4.19218
500.0,500,4.435109
500.0,500,4.969532
500.0,500,5.212806
500.0,500,5.561123
230.0,230,5.786282
260.0,260,5.934846
428.0,428,6.416128
486.0,486,6.712125
298.0,298,6.920278
440.0,440,7.414477
113.0,113,7.470611
163.0,163,7.550295
147.0,147,7.624753
144.0,144,7.691264
123.0,123,7.760545
183.0,183,7.84317
134.0,134,7.907587
170.0,170,7.99788
159.0,159,8.092771
126.0,126,8.151071
149.0,149,8.219956
136.0,136,8.282549
99.0,99,8.373418
82.0,82,8.411536
65.0,65,8.446187
56.0,56,8.472866
98.0,98,8.520668
73.0,73,8.554445
74.0,74,8.588143
90.0,90,8.631937
197.0,197,8.721432
113.0,113,8.778998
212.0,212,8.875725
148.0,148,8.947732
