#{"t_start": 1733937062.670391, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.693087
74.0,74,0.733788
16.0,16,0.743577
16.0,16,0.751355
48.0,48,0.776322
69.0,69,0.808957
17.0,17,0.818165
19.0,19,0.826026
21.0,21,0.836235
32.0,32,0.850257
39.0,39,0.868187
92.0,92,0.909126
113.0,113,0.987343
39.0,39,1.0058
70.0,70,1.051928
296.0,296,1.190936
196.0,196,1.300984
316.0,316,1.621873
199.0,199,1.721169
187.0,187,1.80789
111.0,111,1.874681
164.0,164,2.003639
112.0,112,2.06919
325.0,325,2.300176
121.0,121,2.371601
301.0,301,2.593267
191.0,191,3.026796
314.0,314,3.208887
257.0,257,3.397542
341.0,341,3.558365
282.0,282,3.729572
368.0,368,3.90575
500.0,500,4.175196
500.0,500,4.418765
500.0,500,4.950828
500.0,500,5.19367
500.0,500,5.528987
322.0,322,5.821966
500.0,500,6.249908
500.0,500,6.639813
500.0,500,7.000393
368.0,368,7.420313
131.0,131,7.483996
216.0,216,7.595163
118.0,118,7.648687
173.0,173,7.741355
121.0,121,7.79752
175.0,175,7.879263
165.0,165,7.960907
162.0,162,8.05855
129.0,129,8.123852
174.0,174,8.204067
131.0,131,8.263841
133.0,133,8.369409
95.0,95,8.413833
115.0,115,8.472614
71.0,71,8.509039
201.0,201,8.600636
168.0,168,8.677787
203.0,203,8.778191
80.0,80,8.81419
148.0,148,8.881802
108.0,108,8.936151
