#{"t_start": 1733937062.671048, "env_id": "CartPole-v1"}
r,l,t
27.0,27,0.695155
46.0,46,0.721535
13.0,13,0.728997
14.0,14,0.736065
14.0,14,0.743725
17.0,17,0.753742
18.0,18,0.762263
20.0,20,0.772886
17.0,17,0.781587
29.0,29,0.79434
51.0,51,0.819793
29.0,29,0.83208
55.0,55,0.857063
48.0,48,0.879485
24.0,24,0.890412
61.0,61,0.917108
152.0,152,1.01395
113.0,113,1.079245
199.0,199,1.173693
219.0,219,1.29514
180.0,180,1.546561
139.0,139,1.616997
145.0,145,1.686521
159.0,159,1.76519
140.0,140,1.832299
204.0,204,1.991051
237.0,237,2.129094
236.0,236,2.307614
189.0,189,2.426466
403.0,403,3.022912
260.0,260,3.173762
500.0,500,3.480872
359.0,359,3.68752
500.0,500,3.928302
244.0,244,4.052099
500.0,500,4.32203
500.0,500,4.554498
500.0,500,5.094421
500.0,500,5.3568
500.0,500,5.806438
346.0,346,5.998281
296.0,296,6.399875
200.0,200,6.537983
311.0,311,6.714357
500.0,500,7.105506
195.0,195,7.389332
120.0,120,7.454895
83.0,83,7.494768
117.0,117,7.554581
147.0,147,7.627546
169.0,169,7.709848
139.0,139,7.782103
174.0,174,7.859283
217.0,217,7.971973
152.0,152,8.062705
125.0,125,8.125517
160.0,160,8.199052
127.0,127,8.256779
126.0,126,8.315779
105.0,105,8.408571
86.0,86,8.455154
102.0,102,8.504474
78.0,78,8.541222
94.0,94,8.582684
141.0,141,8.649899
95.0,95,8.691883
137.0,137,8.762158
131.0,131,8.820607
120.0,120,8.875327
109.0,109,8.930701
