#{"t_start": 1733920821.795156, "env_id": "HalfCheetah-v4"}
r,l,t
-448.716727,1000,1.082398
-244.80666,1000,1.631638
-231.691058,1000,2.191148
-124.34161,1000,2.676034
-381.566228,1000,3.171085
-411.759542,1000,3.64678
-323.429367,1000,4.108491
-278.233399,1000,4.607423
-258.35468,1000,5.11847
-309.780043,1000,5.571594
-286.251563,1000,6.073035
-202.009216,1000,6.501765
-190.386915,1000,7.759674
-136.418442,1000,8.310778
-173.762343,1000,8.774693
-95.443893,1000,9.362412
-118.905381,1000,9.942768
-36.245449,1000,10.422516
-92.863554,1000,10.875494
19.930379,1000,11.344807
14.662884,1000,11.806754
62.095232,1000,12.410498
42.666445,1000,12.930254
76.722768,1000,13.482649
52.492018,1000,14.054089
199.216259,1000,15.443706
200.250582,1000,15.956238
-82.878945,1000,16.483864
84.677486,1000,16.999678
63.135341,1000,17.513509
164.921794,1000,18.13507
247.261127,1000,18.623526
276.624312,1000,19.158604
117.039765,1000,19.694089
238.233363,1000,20.146603
239.651179,1000,20.595865
53.108743,1000,21.033343
-148.237699,1000,22.210603
88.460606,1000,22.6578
300.181493,1000,23.095971
406.052633,1000,23.529019
321.993034,1000,24.073395
390.163208,1000,24.371853
391.967379,1000,24.916098
438.985442,1000,25.508333
349.429829,1000,26.089192
-365.782218,1000,26.56546
396.996034,1000,27.010226
451.305528,1000,27.448232
442.442313,1000,27.880285
299.43842,1000,29.040394
377.966616,1000,29.485679
440.226711,1000,29.930571
599.925029,1000,30.3661
445.529558,1000,30.796685
547.894099,1000,31.253285
512.989326,1000,31.694544
546.395535,1000,32.128362
664.235439,1000,32.563636
567.144669,1000,33.000533
607.616569,1000,33.438904
539.507951,1000,33.887097
562.961096,1000,35.037436
697.48269,1000,35.470916
697.111708,1000,36.05954
507.697597,1000,36.599624
771.577512,1000,37.056074
568.09788,1000,37.555905
746.936933,1000,38.295316
646.11196,1000,38.889304
733.834958,1000,39.430215
704.48845,1000,39.991727
641.158343,1000,40.454858
763.185563,1000,40.909907
725.782218,1000,41.391516
731.84252,1000,42.564667
706.787284,1000,43.02497
721.515018,1000,43.507397
791.107165,1000,43.969741
831.102914,1000,44.415598
859.94242,1000,44.862933
756.530778,1000,45.316912
760.912827,1000,45.772962
834.510742,1000,46.254135
782.561042,1000,46.709162
879.182707,1000,46.984421
810.987258,1000,47.434827
839.338195,1000,48.63478
850.803545,1000,49.08893
835.3091,1000,49.534238
909.980428,1000,49.994736
811.979403,1000,50.455808
933.028153,1000,50.92412
905.543038,1000,51.37199
756.5144,1000,51.863274
814.993962,1000,52.32146
847.382077,1000,52.796554
926.319406,1000,53.243883
827.593027,1000,53.692971
900.20803,1000,54.129344
564.592986,1000,55.308128
689.923883,1000,55.742059
881.06338,1000,56.187299
921.254337,1000,56.622136
879.333323,1000,57.055837
869.799833,1000,57.493661
993.940949,1000,57.926764
1046.727591,1000,58.39175
1055.41974,1000,58.85004
996.101177,1000,59.286982
974.335708,1000,59.734614
946.222681,1000,60.171084
913.412773,1000,61.341291
897.283382,1000,61.7747
982.39219,1000,62.218092
993.586975,1000,62.67093
921.665253,1000,63.143414
828.200648,1000,63.602075
1003.469419,1000,64.039082
957.529572,1000,64.500803
1068.244697,1000,64.92673
1005.622437,1000,65.362468
995.678084,1000,65.796223
986.755314,1000,66.225539
1054.756423,1000,66.66347
947.553164,1000,67.829721
1063.101759,1000,68.285888
1103.654977,1000,68.576401
1134.617529,1000,69.027614
1094.630639,1000,69.498496
914.802064,1000,69.927072
907.749805,1000,70.380892
1000.138364,1000,70.807374
1149.960798,1000,71.242729
1114.623846,1000,71.681182
1117.550261,1000,72.127554
1079.344785,1000,72.573772
1010.787931,1000,73.730603
1048.82116,1000,74.177096
1192.839329,1000,74.80179
1182.07309,1000,75.292773
1118.634495,1000,75.737274
1141.343671,1000,76.176414
1095.990498,1000,76.645818
1153.124083,1000,77.088843
1010.63912,1000,77.532132
1180.478845,1000,77.968721
1105.027088,1000,78.423985
1183.860344,1000,78.923658
1171.999972,1000,79.372392
