#{"t_start": 1733497257.556111, "env_id": "CartPole-v1"}
r,l,t
34.0,34,0.721481
30.0,30,0.735652
14.0,14,0.742238
41.0,41,0.766692
18.0,18,0.777745
25.0,25,0.799016
33.0,33,0.815957
27.0,27,0.835051
22.0,22,0.852459
71.0,71,0.891828
28.0,28,0.917619
46.0,46,0.941613
22.0,22,0.955674
18.0,18,0.963584
36.0,36,0.982506
22.0,22,1.001896
16.0,16,1.028933
16.0,16,1.05235
28.0,28,1.071043
40.0,40,1.101394
49.0,49,1.134323
48.0,48,1.169994
22.0,22,1.183079
136.0,136,1.268117
92.0,92,1.322201
142.0,142,1.437925
201.0,201,1.602404
164.0,164,1.729187
408.0,408,2.021553
200.0,200,2.172307
144.0,144,2.265075
110.0,110,2.32614
120.0,120,2.451232
210.0,210,2.591099
173.0,173,2.736919
246.0,246,2.896607
148.0,148,3.135888
188.0,188,3.311007
157.0,157,3.444042
288.0,288,3.593602
182.0,182,3.682006
186.0,186,3.795804
163.0,163,3.880534
229.0,229,4.029118
198.0,198,4.133766
191.0,191,4.264271
433.0,433,4.546201
474.0,474,4.88307
371.0,371,5.453287
500.0,500,5.756796
500.0,500,6.065713
500.0,500,6.354441
500.0,500,6.61144
500.0,500,6.910553
274.0,274,7.122058
138.0,138,7.216569
91.0,91,7.271231
119.0,119,7.435015
109.0,109,7.505818
87.0,87,7.570294
78.0,78,7.617758
43.0,43,7.6485
75.0,75,7.708422
57.0,57,7.746734
44.0,44,7.772272
36.0,36,7.79519
60.0,60,7.830471
59.0,59,7.88726
36.0,36,7.911578
52.0,52,7.951062
30.0,30,7.973533
45.0,45,8.002275
47.0,47,8.025073
79.0,79,8.063504
70.0,70,8.096029
43.0,43,8.116594
93.0,93,8.159355
51.0,51,8.188199
78.0,78,8.223531
84.0,84,8.279425
108.0,108,8.355183
83.0,83,8.403515
107.0,107,8.471722
100.0,100,8.529317
105.0,105,8.622565
173.0,173,8.734626
195.0,195,8.827801
134.0,134,8.907023
83.0,83,8.947575
150.0,150,9.022587
126.0,126,9.079312
114.0,114,9.13425
155.0,155,9.267532
107.0,107,9.322495
