#{"t_start": 1733497257.556468, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.70969
21.0,21,0.721158
14.0,14,0.72788
41.0,41,0.74772
14.0,14,0.754832
12.0,12,0.764095
25.0,25,0.778168
32.0,32,0.805046
18.0,18,0.813269
33.0,33,0.835044
16.0,16,0.849716
16.0,16,0.857072
16.0,16,0.867723
43.0,43,0.891203
31.0,31,0.917898
21.0,21,0.930708
14.0,14,0.936372
79.0,79,0.979543
14.0,14,0.990101
23.0,23,1.006366
15.0,15,1.041733
25.0,25,1.064014
65.0,65,1.1106
33.0,33,1.132401
32.0,32,1.160764
24.0,24,1.173333
108.0,108,1.233426
70.0,70,1.28169
200.0,200,1.432881
268.0,268,1.639401
208.0,208,1.807006
263.0,263,1.979432
215.0,215,2.158418
205.0,205,2.282144
195.0,195,2.450498
196.0,196,2.580272
156.0,156,2.718496
158.0,158,2.822712
233.0,233,3.104806
173.0,173,3.250072
198.0,198,3.440281
171.0,171,3.530007
261.0,261,3.657276
163.0,163,3.747495
280.0,280,3.902003
280.0,280,4.084755
234.0,234,4.236924
220.0,220,4.383719
218.0,218,4.512561
500.0,500,4.84033
500.0,500,5.542263
354.0,354,5.737544
500.0,500,6.044389
500.0,500,6.326456
500.0,500,6.592405
500.0,500,6.88267
291.0,291,7.086091
155.0,155,7.211521
104.0,104,7.272973
108.0,108,7.353065
84.0,84,7.485844
112.0,112,7.567113
60.0,60,7.601737
60.0,60,7.642583
57.0,57,7.687918
55.0,55,7.726959
33.0,33,7.749153
44.0,44,7.774918
81.0,81,7.822673
47.0,47,7.873975
56.0,56,7.909407
67.0,67,7.958005
65.0,65,8.003925
41.0,41,8.023928
31.0,31,8.039565
62.0,62,8.067951
103.0,103,8.116572
102.0,102,8.163853
96.0,96,8.213425
59.0,59,8.241893
87.0,87,8.301108
71.0,71,8.35558
70.0,70,8.396833
108.0,108,8.465265
106.0,106,8.526703
50.0,50,8.568493
301.0,301,8.767716
110.0,110,8.82049
150.0,150,8.906724
96.0,96,8.952539
150.0,150,9.027385
65.0,65,9.05661
139.0,139,9.118951
124.0,124,9.226208
61.0,61,9.269927
73.0,73,9.310369
