#{"t_start": 1733497257.557463, "env_id": "CartPole-v1"}
r,l,t
33.0,33,0.71985
15.0,15,0.726923
16.0,16,0.734351
13.0,13,0.740638
50.0,50,0.771542
43.0,43,0.802106
20.0,20,0.812315
26.0,26,0.828258
45.0,45,0.861608
39.0,39,0.882026
26.0,26,0.908013
22.0,22,0.919648
14.0,14,0.927333
22.0,22,0.937782
22.0,22,0.95167
17.0,17,0.95977
33.0,33,0.977762
57.0,57,1.041481
35.0,35,1.070062
75.0,75,1.121192
35.0,35,1.145701
43.0,43,1.179436
56.0,56,1.210186
63.0,63,1.245418
220.0,220,1.41588
207.0,207,1.554782
344.0,344,1.832011
249.0,249,2.011629
138.0,138,2.128539
131.0,131,2.211681
123.0,123,2.284625
154.0,154,2.432479
165.0,165,2.544252
137.0,137,2.667509
231.0,231,2.813036
215.0,215,3.085804
206.0,206,3.250794
155.0,155,3.409396
191.0,191,3.516295
161.0,161,3.599655
164.0,164,3.678839
305.0,305,3.854714
339.0,339,4.060163
219.0,219,4.208968
196.0,196,4.30272
221.0,221,4.46262
277.0,277,4.639475
403.0,403,4.934852
468.0,468,5.585524
500.0,500,5.85693
388.0,388,6.098273
500.0,500,6.391733
500.0,500,6.642193
500.0,500,6.94801
216.0,216,7.128909
120.0,120,7.210571
144.0,144,7.302849
98.0,98,7.446012
101.0,101,7.513528
81.0,81,7.57469
58.0,58,7.60814
64.0,64,7.656774
69.0,69,7.709152
41.0,41,7.737786
49.0,49,7.766784
51.0,51,7.79749
38.0,38,7.818885
26.0,26,7.839311
47.0,47,7.885954
47.0,47,7.917427
52.0,52,7.955372
85.0,85,8.011143
61.0,61,8.041507
41.0,41,8.061335
62.0,62,8.089808
74.0,74,8.124481
43.0,43,8.143683
41.0,41,8.164454
69.0,69,8.20006
66.0,66,8.230244
79.0,79,8.283371
132.0,132,8.374646
62.0,62,8.411718
48.0,48,8.443305
145.0,145,8.528389
114.0,114,8.627737
157.0,157,8.729295
186.0,186,8.819818
155.0,155,8.908944
139.0,139,8.976643
129.0,129,9.039667
125.0,125,9.095783
99.0,99,9.165355
116.0,116,9.253037
115.0,115,9.318729
