#{"t_start": 1733497257.556823, "env_id": "CartPole-v1"}
r,l,t
49.0,49,0.727828
92.0,92,0.779572
41.0,41,0.809819
22.0,22,0.820613
16.0,16,0.830045
21.0,21,0.850952
10.0,10,0.855642
61.0,61,0.890317
18.0,18,0.909768
32.0,32,0.927936
19.0,19,0.937532
32.0,32,0.955558
41.0,41,0.976732
36.0,36,1.001992
80.0,80,1.088959
26.0,26,1.10761
62.0,62,1.146293
58.0,58,1.187387
40.0,40,1.210484
90.0,90,1.270059
112.0,112,1.345758
339.0,339,1.614382
262.0,262,1.815117
315.0,315,2.038873
159.0,159,2.164247
196.0,196,2.282359
72.0,72,2.324774
135.0,135,2.457188
214.0,214,2.597593
215.0,215,2.775195
213.0,213,2.912214
125.0,125,3.137306
214.0,214,3.345779
143.0,143,3.45029
158.0,158,3.534439
210.0,210,3.637694
165.0,165,3.725211
319.0,319,3.902013
213.0,213,4.042973
157.0,157,4.128769
331.0,331,4.358079
310.0,310,4.550904
493.0,493,4.903474
444.0,444,5.540077
500.0,500,5.802178
397.0,397,6.064189
500.0,500,6.352787
171.0,171,6.44341
500.0,500,6.721962
500.0,500,7.021262
164.0,164,7.169495
145.0,145,7.254848
119.0,119,7.337748
105.0,105,7.487199
64.0,64,7.537496
72.0,72,7.581511
52.0,52,7.610834
42.0,42,7.6423
80.0,80,7.706877
65.0,65,7.748854
60.0,60,7.785565
55.0,55,7.81541
45.0,45,7.854556
37.0,37,7.888369
44.0,44,7.91803
42.0,42,7.950695
79.0,79,8.004162
45.0,45,8.026171
53.0,53,8.052885
37.0,37,8.06936
46.0,46,8.090753
53.0,53,8.115925
48.0,48,8.137609
164.0,164,8.218266
80.0,80,8.270472
97.0,97,8.339953
156.0,156,8.431748
43.0,43,8.461024
48.0,48,8.490128
83.0,83,8.537056
91.0,91,8.622265
118.0,118,8.701342
185.0,185,8.797866
148.0,148,8.879314
124.0,124,8.942597
132.0,132,9.007163
122.0,122,9.064768
149.0,149,9.134551
122.0,122,9.245617
48.0,48,9.275409
57.0,57,9.307921
