#{"t_start": 1733497257.55491, "env_id": "CartPole-v1"}
r,l,t
28.0,28,0.719668
26.0,26,0.732351
18.0,18,0.740902
40.0,40,0.76471
46.0,46,0.796844
60.0,60,0.8314
32.0,32,0.856159
38.0,38,0.87901
51.0,51,0.916508
23.0,23,0.929769
32.0,32,0.945455
29.0,29,0.96224
23.0,23,0.974208
20.0,20,0.985145
21.0,21,1.003036
52.0,52,1.066341
61.0,61,1.110571
45.0,45,1.140749
86.0,86,1.196899
109.0,109,1.26726
96.0,96,1.324943
200.0,200,1.473145
298.0,298,1.724321
116.0,116,1.81165
305.0,305,2.025669
232.0,232,2.203859
165.0,165,2.296668
126.0,126,2.430226
147.0,147,2.52099
243.0,243,2.717043
190.0,190,2.843553
182.0,182,3.09175
193.0,193,3.245649
172.0,172,3.420275
169.0,169,3.509741
174.0,174,3.602505
224.0,224,3.715465
289.0,289,3.880867
365.0,365,4.10473
267.0,267,4.270129
212.0,212,4.418978
463.0,463,4.720457
489.0,489,5.073243
500.0,500,5.711011
500.0,500,6.015997
456.0,456,6.252763
500.0,500,6.547289
500.0,500,6.820535
407.0,407,7.114173
129.0,129,7.204176
154.0,154,7.302902
125.0,125,7.470345
97.0,97,7.539302
76.0,76,7.585741
56.0,56,7.619253
38.0,38,7.645446
62.0,62,7.69729
50.0,50,7.73338
54.0,54,7.76593
70.0,70,7.806874
46.0,46,7.838889
57.0,57,7.890522
35.0,35,7.913843
52.0,52,7.954402
32.0,32,7.977571
42.0,42,8.004014
54.0,54,8.030564
36.0,36,8.048896
72.0,72,8.082809
59.0,59,8.11064
47.0,47,8.131721
51.0,51,8.15495
78.0,78,8.1972
72.0,72,8.22907
135.0,135,8.322224
97.0,97,8.385672
85.0,85,8.439953
71.0,71,8.482393
124.0,124,8.562142
131.0,131,8.66532
165.0,165,8.76428
125.0,125,8.824081
104.0,104,8.885215
78.0,78,8.925266
110.0,110,8.979448
120.0,120,9.03818
83.0,83,9.075836
114.0,114,9.129478
130.0,130,9.243646
48.0,48,9.273907
