#{"t_start": 1733497257.5553842, "env_id": "CartPole-v1"}
r,l,t
37.0,37,0.724042
11.0,11,0.728919
10.0,10,0.733878
25.0,25,0.745823
19.0,19,0.755598
31.0,31,0.77637
17.0,17,0.784982
24.0,24,0.806662
14.0,14,0.81382
38.0,38,0.838036
18.0,18,0.85314
34.0,34,0.871605
39.0,39,0.896571
21.0,21,0.915448
46.0,46,0.939796
24.0,24,0.954411
51.0,51,0.980583
30.0,30,1.003136
73.0,73,1.083084
49.0,49,1.11727
137.0,137,1.207112
93.0,93,1.268503
485.0,485,1.635136
188.0,188,1.784349
376.0,376,2.053071
158.0,158,2.172706
176.0,176,2.2812
133.0,133,2.420136
202.0,202,2.549403
179.0,179,2.698582
174.0,174,2.81216
215.0,215,3.084437
199.0,199,3.239116
159.0,159,3.403426
210.0,210,3.521904
256.0,256,3.649942
221.0,221,3.769873
189.0,189,3.880471
244.0,244,4.035278
201.0,201,4.141193
281.0,281,4.314593
340.0,340,4.554496
472.0,472,4.895405
500.0,500,5.561981
500.0,500,5.821298
473.0,473,6.123586
500.0,500,6.417143
500.0,500,6.69458
500.0,500,6.977947
182.0,182,7.138729
133.0,133,7.225583
138.0,138,7.314692
92.0,92,7.455844
55.0,55,7.495467
55.0,55,7.542111
76.0,76,7.585845
67.0,67,7.625656
55.0,55,7.673539
49.0,49,7.709108
38.0,38,7.735663
54.0,54,7.76824
48.0,48,7.796813
48.0,48,7.82409
60.0,60,7.883982
44.0,44,7.912247
33.0,33,7.935157
62.0,62,7.981811
58.0,58,8.015496
34.0,34,8.032901
48.0,48,8.056549
49.0,49,8.078186
62.0,62,8.107985
45.0,45,8.128752
48.0,48,8.15029
81.0,81,8.193991
78.0,78,8.228633
76.0,76,8.280694
64.0,64,8.324272
73.0,73,8.374049
108.0,108,8.44055
87.0,87,8.495092
73.0,73,8.534808
81.0,81,8.611776
235.0,235,8.759021
104.0,104,8.808481
134.0,134,8.883215
178.0,178,8.973054
117.0,117,9.030783
99.0,99,9.075648
135.0,135,9.140264
100.0,100,9.234782
122.0,122,9.310189
