#{"t_start": 1733497257.555732, "env_id": "CartPole-v1"}
r,l,t
41.0,41,0.725734
12.0,12,0.731271
26.0,26,0.742881
12.0,12,0.750005
10.0,10,0.754914
28.0,28,0.773799
13.0,13,0.781101
12.0,12,0.793773
37.0,37,0.815293
48.0,48,0.850395
23.0,23,0.863748
10.0,10,0.868743
33.0,33,0.88624
49.0,49,0.924294
11.0,11,0.929815
71.0,71,0.968728
11.0,11,0.973695
47.0,47,1.005466
28.0,28,1.056906
62.0,62,1.099469
93.0,93,1.167262
21.0,21,1.179125
101.0,101,1.234458
64.0,64,1.279873
15.0,15,1.28758
216.0,216,1.447076
349.0,349,1.734577
490.0,490,2.093373
189.0,189,2.220782
200.0,200,2.403395
142.0,142,2.486545
135.0,135,2.569029
234.0,234,2.758384
172.0,172,2.870663
157.0,157,3.104604
263.0,263,3.353522
163.0,163,3.464531
193.0,193,3.568471
176.0,176,3.652143
427.0,427,3.889712
205.0,205,4.027418
162.0,162,4.116079
186.0,186,4.244363
500.0,500,4.560201
407.0,407,4.81069
500.0,500,5.533485
500.0,500,5.795564
500.0,500,6.108451
500.0,500,6.401223
500.0,500,6.662014
239.0,239,6.80647
399.0,399,7.061383
161.0,161,7.199778
100.0,100,7.258891
148.0,148,7.440285
70.0,70,7.488236
95.0,95,7.559782
78.0,78,7.603322
62.0,62,7.647994
40.0,40,7.68162
46.0,46,7.715723
51.0,51,7.747696
36.0,36,7.769799
41.0,41,7.792852
39.0,39,7.814893
42.0,42,7.853137
39.0,39,7.887598
47.0,47,7.919038
37.0,37,7.946924
52.0,52,7.985487
52.0,52,8.01488
64.0,64,8.047044
55.0,55,8.072448
48.0,48,8.094422
48.0,48,8.117271
62.0,62,8.145357
90.0,90,8.192275
63.0,63,8.221431
90.0,90,8.279741
98.0,98,8.349727
194.0,194,8.467004
85.0,85,8.517514
62.0,62,8.56167
141.0,141,8.676711
155.0,155,8.763758
146.0,146,8.8329
151.0,151,8.920118
140.0,140,8.988009
121.0,121,9.047695
118.0,118,9.100172
102.0,102,9.171597
60.0,60,9.220183
59.0,59,9.266546
78.0,78,9.309302
