#{"t_start": 1733497257.5571358, "env_id": "CartPole-v1"}
r,l,t
42.0,42,0.724651
45.0,45,0.746363
23.0,23,0.757158
34.0,34,0.780498
15.0,15,0.795406
20.0,20,0.807402
14.0,14,0.814443
10.0,10,0.820014
14.0,14,0.828927
22.0,22,0.849081
25.0,25,0.863073
22.0,22,0.876271
15.0,15,0.883828
32.0,32,0.911335
33.0,33,0.930087
26.0,26,0.942715
20.0,20,0.95497
30.0,30,0.969974
23.0,23,0.981539
29.0,29,1.004125
17.0,17,1.041135
88.0,88,1.108114
77.0,77,1.165586
76.0,76,1.207443
103.0,103,1.273213
147.0,147,1.389794
206.0,206,1.527137
309.0,309,1.785355
186.0,186,1.894871
209.0,209,2.065584
190.0,190,2.209026
145.0,145,2.292185
205.0,205,2.478592
128.0,128,2.558172
108.0,108,2.66776
119.0,119,2.736602
249.0,249,2.898633
217.0,217,3.196985
237.0,237,3.422033
174.0,174,3.514773
183.0,183,3.609643
208.0,208,3.714243
226.0,226,3.847965
237.0,237,3.990208
191.0,191,4.103373
242.0,242,4.258535
337.0,337,4.471175
500.0,500,4.784716
377.0,377,5.100428
500.0,500,5.720918
500.0,500,6.027723
488.0,488,6.292502
500.0,500,6.571993
500.0,500,6.85674
353.0,353,7.116405
136.0,136,7.210554
132.0,132,7.293523
138.0,138,7.470464
75.0,75,7.514156
69.0,69,7.568752
40.0,40,7.591926
51.0,51,7.62311
41.0,41,7.656618
58.0,58,7.703794
40.0,40,7.729796
46.0,46,7.757159
47.0,47,7.786123
23.0,23,7.7998
63.0,63,7.840186
53.0,53,7.890387
58.0,58,7.930391
74.0,74,7.98518
41.0,41,8.010693
99.0,99,8.058151
69.0,69,8.090471
48.0,48,8.113286
67.0,67,8.143708
51.0,51,8.168039
63.0,63,8.202176
64.0,64,8.230845
102.0,102,8.298351
83.0,83,8.361068
185.0,185,8.473893
45.0,45,8.502007
59.0,59,8.534438
88.0,88,8.617387
125.0,125,8.700696
160.0,160,8.783643
159.0,159,8.865653
111.0,111,8.927941
173.0,173,9.015202
153.0,153,9.083571
175.0,175,9.205126
61.0,61,9.250872
52.0,52,9.284378
46.0,46,9.308201
