#{"t_start": 1733935512.164133, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.859746
22.0,22,0.937577
25.0,25,0.956402
16.0,16,0.992928
41.0,41,1.046479
47.0,47,1.158342
127.0,127,1.337345
27.0,27,1.34542
213.0,213,1.607368
45.0,45,1.662075
209.0,209,2.038849
132.0,132,2.265266
461.0,461,2.922568
237.0,237,3.23777
280.0,280,3.583788
251.0,251,3.908479
500.0,500,4.625766
308.0,308,5.009148
155.0,155,5.265059
269.0,269,5.739866
500.0,500,6.545061
500.0,500,7.139254
500.0,500,7.762907
500.0,500,8.305771
500.0,500,8.878876
500.0,500,9.908842
500.0,500,10.756269
500.0,500,11.662032
500.0,500,12.644307
500.0,500,13.522305
500.0,500,14.456461
500.0,500,15.521854
500.0,500,16.328997
500.0,500,17.226493
500.0,500,18.119498
500.0,500,18.769616
500.0,500,19.406164
500.0,500,19.977027
