#{"t_start": 1733935512.162642, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.861885
17.0,17,0.869586
27.0,27,0.957479
17.0,17,0.99433
21.0,21,1.001846
21.0,21,1.048321
23.0,23,1.11203
13.0,13,1.115716
119.0,119,1.304608
199.0,199,1.531635
154.0,154,1.749247
217.0,217,2.179506
153.0,153,2.396291
225.0,225,2.734798
232.0,232,3.029859
207.0,207,3.282847
336.0,336,3.709034
485.0,485,4.396317
412.0,412,4.930044
157.0,157,5.18335
223.0,223,5.587652
500.0,500,6.397956
500.0,500,7.022009
500.0,500,7.656998
500.0,500,8.199846
500.0,500,8.775614
500.0,500,9.747311
500.0,500,10.598007
500.0,500,11.51811
500.0,500,12.413652
500.0,500,13.376846
500.0,500,14.310525
500.0,500,15.042756
500.0,500,16.180277
500.0,500,16.987165
500.0,500,17.974129
500.0,500,18.651182
500.0,500,19.275631
500.0,500,19.868419
