#{"t_start": 1733935512.164494, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.860406
28.0,28,0.945532
10.0,10,0.953811
86.0,86,1.109911
31.0,31,1.160445
20.0,20,1.168605
152.0,152,1.381019
200.0,200,1.61049
161.0,161,1.852813
131.0,131,2.174827
201.0,201,2.442844
214.0,214,2.745609
283.0,283,3.129087
233.0,233,3.440604
223.0,223,3.705227
273.0,273,4.101619
500.0,500,4.768625
182.0,182,4.973591
207.0,207,5.423383
500.0,500,6.250433
500.0,500,6.865057
500.0,500,7.51635
500.0,500,8.052481
500.0,500,8.635599
500.0,500,9.255715
500.0,500,10.420329
500.0,500,11.329886
500.0,500,12.226461
500.0,500,13.103107
500.0,500,14.097834
500.0,500,14.844117
500.0,500,15.935017
500.0,500,16.825545
500.0,500,17.748567
500.0,500,18.464829
500.0,500,19.146553
500.0,500,19.713762
