#{"t_start": 1733935512.1637561, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.862273
40.0,40,0.956741
26.0,26,0.996555
38.0,38,1.050398
122.0,122,1.267688
35.0,35,1.305787
143.0,143,1.48565
138.0,138,1.658333
121.0,121,1.83729
144.0,144,2.141384
181.0,181,2.400129
329.0,329,2.884022
261.0,261,3.201163
310.0,310,3.587903
256.0,256,3.954193
327.0,327,4.399371
452.0,452,4.973936
156.0,156,5.229473
500.0,500,6.158084
500.0,500,6.823195
500.0,500,7.441265
500.0,500,8.012156
500.0,500,8.56789
500.0,500,9.17897
500.0,500,10.374563
500.0,500,11.203774
500.0,500,12.123359
500.0,500,13.047949
500.0,500,13.942653
500.0,500,14.779098
500.0,500,15.857889
500.0,500,16.707244
500.0,500,17.683678
500.0,500,18.399902
500.0,500,19.053038
500.0,500,19.673721
