#{"t_start": 1733935512.162007, "env_id": "CartPole-v1"}
r,l,t
20.0,20,0.866579
12.0,12,0.870948
33.0,33,0.99027
20.0,20,0.998653
33.0,33,1.049559
16.0,16,1.111062
28.0,28,1.160372
28.0,28,1.171473
53.0,53,1.269061
24.0,24,1.30375
17.0,17,1.309144
63.0,63,1.385247
274.0,274,1.748757
198.0,198,2.141124
143.0,143,2.347289
236.0,236,2.680407
295.0,295,3.089953
236.0,236,3.404888
225.0,225,3.666536
315.0,315,4.106872
500.0,500,4.773685
174.0,174,4.976357
206.0,206,5.425762
500.0,500,6.252797
500.0,500,6.867469
500.0,500,7.518739
500.0,500,8.054892
500.0,500,8.63802
500.0,500,9.257944
500.0,500,10.422752
500.0,500,11.332255
500.0,500,12.228822
500.0,500,13.105505
500.0,500,14.100224
500.0,500,14.846502
500.0,500,15.937196
500.0,500,16.827902
500.0,500,17.750946
500.0,500,18.467206
500.0,500,19.148919
500.0,500,19.716138
