#{"t_start": 1733935512.163101, "env_id": "CartPole-v1"}
r,l,t
40.0,40,0.945945
31.0,31,0.992781
14.0,14,0.997602
34.0,34,1.049867
15.0,15,1.11001
33.0,33,1.161081
124.0,124,1.339095
27.0,27,1.347026
262.0,262,1.701054
214.0,214,2.042907
173.0,173,2.349357
363.0,363,2.883295
221.0,221,3.163249
148.0,148,3.360148
85.0,85,3.447311
229.0,229,3.713795
467.0,467,4.396216
395.0,395,4.897613
140.0,140,5.133808
168.0,168,5.4662
355.0,355,6.040427
500.0,500,6.753507
500.0,500,7.328896
500.0,500,7.945143
500.0,500,8.525557
500.0,500,9.071647
500.0,500,10.258987
500.0,500,11.099407
500.0,500,11.979012
500.0,500,12.932176
500.0,500,13.850418
500.0,500,14.660652
500.0,500,15.813464
500.0,500,16.604313
500.0,500,17.515974
500.0,500,18.332064
500.0,500,18.980972
500.0,500,19.605257
