#{"t_start": 1733938131.298526, "env_id": "HalfCheetah-v4"}
r,l,t
2442.790215,1000,101.953193
2552.900096,1000,102.729149
2608.013738,1000,103.514229
2657.302955,1000,104.28475
2586.322471,1000,105.061995
2630.808113,1000,105.845985
2647.426716,1000,106.626731
1283.43382,1000,107.406716
2651.113738,1000,108.204753
2674.764111,1000,108.991129
2800.650412,1000,109.819024
674.897564,1000,110.59469
2770.414352,1000,111.373758
2760.136208,1000,112.94637
2901.695999,1000,113.734963
2842.30679,1000,114.273245
2919.986112,1000,115.055038
2890.688556,1000,115.840384
2912.934956,1000,116.610251
1517.475121,1000,117.41474
2925.757636,1000,118.191258
2872.449429,1000,118.986092
2949.745035,1000,119.9252
1426.559183,1000,120.876972
2154.600126,1000,121.888967
829.859518,1000,122.777039
3004.733726,1000,123.841304
2934.407254,1000,124.653963
3035.385822,1000,125.527191
3052.826015,1000,126.412719
3047.52925,1000,127.234673
3055.082652,1000,128.018256
3049.681757,1000,128.820953
3138.447754,1000,129.69314
2103.9863,1000,130.481821
3104.242748,1000,131.31498
3238.865482,1000,132.223741
3182.263384,1000,132.758542
2972.780899,1000,134.401492
3155.145495,1000,135.293998
3218.278073,1000,136.247587
3134.844466,1000,137.045782
3284.490895,1000,137.868446
3330.5165,1000,138.689696
3254.971465,1000,139.530026
3259.2334,1000,140.3045
3303.881528,1000,141.09969
3355.952788,1000,141.878236
3396.009968,1000,142.662442
3346.188896,1000,143.475567
3368.795885,1000,144.259582
1817.684966,1000,145.156719
3463.763778,1000,146.079166
3409.639939,1000,146.998507
3333.010674,1000,147.841096
3425.28215,1000,148.627833
3253.274739,1000,149.459876
3374.852726,1000,150.527004
3462.701452,1000,151.179851
3425.59708,1000,152.406815
3444.352871,1000,153.479777
3456.706539,1000,154.298273
3512.048436,1000,155.162109
3487.301724,1000,157.012298
3484.139548,1000,158.009698
3552.508001,1000,159.0263
3555.503861,1000,159.919634
3608.553505,1000,160.719116
3534.733168,1000,161.48884
3606.773285,1000,162.265717
3582.438141,1000,163.051963
3521.007125,1000,163.834841
3690.773409,1000,164.61501
3695.458366,1000,165.388468
3715.042335,1000,166.235711
3607.250473,1000,167.031817
3723.067554,1000,167.807784
3653.265228,1000,168.600648
3655.9835,1000,169.394951
3759.772084,1000,169.962397
3756.916216,1000,170.751792
3708.771745,1000,171.601672
1484.633477,1000,172.466608
1654.168103,1000,173.534321
1800.205082,1000,174.464905
3725.032813,1000,175.338261
3788.313638,1000,176.158452
1704.014719,1000,177.155332
2489.106651,1000,178.974373
3817.895751,1000,179.967179
3826.69532,1000,180.90579
3812.985571,1000,181.883802
3749.362723,1000,182.824136
2655.724848,1000,183.683668
3839.117787,1000,184.531359
3733.855077,1000,185.318735
3860.961895,1000,186.107111
3768.016977,1000,186.918386
3745.850693,1000,187.93641
3792.974157,1000,188.865421
3773.635022,1000,189.806967
3814.06115,1000,190.436219
3812.537468,1000,191.485489
3829.587902,1000,192.516515
3839.096391,1000,193.510069
3820.608494,1000,194.341012
3903.264902,1000,195.375701
3885.610431,1000,196.293941
3913.733746,1000,197.233474
3996.232311,1000,198.205929
1055.128964,1000,199.136971
1555.387462,1000,200.147381
4020.608629,1000,201.001052
2701.066467,1000,202.744958
4027.056945,1000,203.655482
3920.268044,1000,204.503725
4008.941186,1000,205.35789
4014.960078,1000,206.311494
3949.208456,1000,207.143492
2799.799643,1000,207.991678
3967.949978,1000,208.798392
3941.037926,1000,209.585335
255.25038,1000,210.29093
871.282703,1000,211.306031
3923.325294,1000,212.621672
4009.970404,1000,213.574055
3406.467873,1000,214.47512
3961.02621,1000,215.500238
3939.962344,1000,216.463105
4004.612231,1000,217.562429
4076.754675,1000,218.471646
3977.834929,1000,219.30373
3997.157031,1000,220.260331
3995.752345,1000,221.137659
4018.788081,1000,222.146823
16.8004,1000,223.227977
4069.101372,1000,224.053168
4131.816958,1000,224.956818
4069.718762,1000,226.706059
4085.828368,1000,227.523401
4059.670351,1000,228.391065
4170.552744,1000,229.200754
4105.324757,1000,230.170094
4133.458609,1000,230.782359
4148.943707,1000,231.679609
4080.030388,1000,232.573706
4136.519436,1000,233.538366
4145.702393,1000,234.35261
4234.243788,1000,235.239148
4185.440234,1000,236.360193
1838.846479,1000,237.211735
4075.151426,1000,238.011229
4129.154793,1000,238.855185
4118.981793,1000,239.69356
4149.198311,1000,240.541828
4210.912474,1000,241.447341
4193.474869,1000,242.354951
4217.810693,1000,243.387003
4244.539808,1000,244.335266
4204.96467,1000,245.288217
4178.602753,1000,246.275165
4263.745548,1000,247.204195
4256.824739,1000,248.049058
4238.239346,1000,249.920132
4286.251166,1000,251.084668
4301.493929,1000,251.758431
4319.2155,1000,252.622334
4255.839799,1000,253.641621
4191.504859,1000,254.618652
4319.457329,1000,255.521186
4347.772986,1000,256.496756
4216.556836,1000,257.466749
4340.955002,1000,258.423716
4361.941011,1000,259.308529
4258.620525,1000,260.334748
4343.973884,1000,261.202017
4233.439007,1000,262.029097
4326.927148,1000,262.990481
4282.633736,1000,263.895839
4379.535732,1000,264.77355
4384.307998,1000,265.652741
4240.086778,1000,266.453755
4241.737908,1000,267.299324
4451.429487,1000,268.123067
4417.777364,1000,268.937826
4400.869764,1000,269.730988
4311.308177,1000,270.368568
4408.004211,1000,271.209077
4305.536763,1000,273.024332
3979.674942,1000,273.831103
3467.086262,1000,274.637416
4392.635562,1000,275.419121
4455.355059,1000,276.227593
4500.315557,1000,277.040133
4137.517581,1000,278.042955
2231.000263,1000,279.089775
4338.844292,1000,280.02437
4393.928362,1000,281.047643
4447.72914,1000,281.945787
4476.634262,1000,282.74058
4506.813977,1000,283.529029
4536.29229,1000,284.317943
4371.763791,1000,285.102398
4435.162159,1000,285.900098
4399.903339,1000,286.749997
4349.690176,1000,287.557046
4468.838601,1000,288.379498
4482.238968,1000,288.900678
4477.474555,1000,289.694707
4446.848073,1000,290.592751
3064.919197,1000,291.499252
4512.83802,1000,292.349682
4486.291158,1000,293.132942
4546.701016,1000,294.714333
4506.028635,1000,295.539511
4507.353491,1000,296.350775
4507.901016,1000,297.144617
2307.42076,1000,297.993667
4461.525617,1000,299.020395
4447.785296,1000,299.894958
4468.132915,1000,300.863825
4497.879978,1000,301.718728
3676.834704,1000,302.533909
938.189239,1000,303.418453
4402.345106,1000,304.259436
4508.64689,1000,305.16833
4394.63383,1000,306.091894
4502.210446,1000,306.970392
4448.996055,1000,307.923322
4558.177249,1000,308.554583
3815.544389,1000,309.475837
